n_jobs,                 16,     33,     75,     136,    1771,   388,    4827,   15135,  2582,   2496,   ,   ,   ,   ,   ,   ,
percent_alt_jobs,       170,    253,    6807,   6886,   2969,   1317,   10586,  4071,   4194,   4851,   4448,   ,   ,   ,   ,   ,
n_machines,             5781,   1640,   357,    2493,   838,    5925,   5053,   1926,   4219,   5919,   ,   ,   ,   ,   ,   ,
percent_alt_machines,   5063,  6129,   4792,   6273,   2855,   122,    122,    161,    1147,   1064,   2419,   ,   ,   ,   ,   ,
average_size_task,      388,    1172,   7564,   1382,   6979,   3464,   11496,  5511,   7016,   1339,   4354,   2425,   446,    4818,   8117,   5599
production_range,       12364,  3548,   16640,  507,    8704,   510,    18355,  3295,   518,    532,    1090,   28320,  1442,   ,   ,   ,
time_usage,             8973,   5791,   478,    1263,   7625,   4364,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,
over_time_hours,        442,    480,    579,    484,    486,    4975,   1788,   1241,   1438,   1648,   4634,   ,   ,   ,   ,   ,
time_out,               616,    1611,   1562,   857,    4281,   3871,   831,    1486,   2611,       ,   ,   ,   ,   ,   ,   ,
