n_jobs,                 16,     27,     80,     120,    2336,   388,    7884,   14155,  56228,  7077,   ,   ,   ,   ,   ,   ,
percent_alt_jobs,       70,     280,    22179,  37521,  67228,  8218,   23693,  27496,  23274,  24532,  16429,   ,   ,   ,   ,   ,
n_machines,             6991,   1629,   15439,  14165,  1394,   9806,   17711,  1948,   4106,   19460,   ,   ,   ,   ,   ,   ,
percent_alt_machines,   7173,   2833,   3471,   3467,   11235,  122,    122,    122,    4260,   13910,  14268,   ,   ,   ,   ,  
average_size_task,      384,    16712,  14384,  4008,   4879,   3003,   15068,  15794,  10419,  9358,   4847,   14122,  446,    44314,  15493,  24358
production_range,       13511,  15831,  14886,  506,    6938,   510,    4069,   24173,  518,    532,    1750,   16594,  1204,   ,   ,   ,
time_usage,             6744,   16352,  478,    1232,   5367,   9544,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,
over_time_hours,        586,    567,    811,    484,    486,    9344,   67933,  14973,  28158,  13406,  36726,   ,   ,   ,   ,   ,
time_out,               1082,   14102,  2571,   13916,  1210,   7627,   14067,  14191,  14140,       ,   ,   ,   ,   ,   ,   ,
