n_jobs,                 0, 0, 0, 0, 173, 0, 454, 13177, 81895, 408,   ,   ,   ,   ,   ,   ,
percent_alt_jobs,       0, 0, 6829, 8081, 5512, 667, 40222, 923, 1533, 39527, 1465,   ,   ,   ,   ,   ,
n_machines,             3310, 1522, 1142, 23371, 318, 250, 15418, 86, 254, 28200,   ,   ,   ,   ,   ,   ,
percent_alt_machines,   2747, 1494, 2961, 3359, 1023, 0, 0, 0, 126, 22893, 22547,   ,   ,   ,   ,   ,
average_size_task,      0, 28517, 13668, 584, 387, 928, 13896, 659, 664, 651, 4164, 12619, 0, 2134, 5545, 5294
production_range,       20122, 2663, 1077, 0, 861, 0, 3085, 34538, 0, 0, 351, 1835, 50,   ,   ,   ,
time_usage,             670, 24792, 0, 244, 610, 12852,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,
over_time_hours,        0, 19, 55, 0, 0, 1081, 11828, 24546, 477, 1459, 594,   ,   ,   ,   ,   ,
time_out,               210, 23253, 1917, 22893, 239, 381, 23187, 23435, 23329,       ,   ,   ,   ,   ,   ,   ,
